schema_version,created_utc,view_type,window,year,entry_month,symbol,tf,session_state,eligible_unit_count,participation_share,gross_profit,gross_loss,net_realized,profit_factor,winning_unit_count,losing_unit_count,zero_unit_count,partition_realized_equity_dd
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,USDJPY,H1,OUTSIDE_DEFINED_SESSION,3,0.04411765,43.75,0.00,43.75,,3,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,USDJPY,H4,ASIA,21,0.30434783,307.25,0.00,307.25,,21,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,USDJPY,H4,LONDON,15,0.21739130,266.37,297.10,-30.73,0.896567,13,2,0,297.10
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,USDJPY,H4,LONDON_NY_OVERLAP,18,0.26086957,338.55,306.37,32.18,1.105036,17,1,0,306.37
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,USDJPY,H4,NEW_YORK_ONLY,11,0.15942029,183.26,4.00,179.26,45.815000,8,3,0,2.27
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,USDJPY,H4,OUTSIDE_DEFINED_SESSION,4,0.05797101,52.41,0.00,52.41,,4,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,USDJPY,M15,ASIA,20,0.29411765,339.65,0.00,339.65,,20,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,USDJPY,M15,LONDON,12,0.17647059,282.07,0.00,282.07,,12,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,USDJPY,M15,LONDON_NY_OVERLAP,20,0.29411765,261.96,132.64,129.32,1.974970,19,1,0,132.64
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,SYMBOL_TF,BWD,ALL,ALL,USDJPY,M15,NEW_YORK_ONLY,8,0.11764706,96.04,0.00,96.04,,8,0,0,0.00
