window,index,time,pnl,equity,dd_pct
MAIN,238,2025-05-23 16:10:40,0.69,10134.55,0.352983
MAIN,239,2025-05-23 19:03:40,0.95,10135.50,0.343643
MAIN,240,2025-05-26 01:03:40,0.72,10136.22,0.336563
MAIN,241,2025-06-02 16:30:40,0.76,10136.98,0.329091
MAIN,242,2025-06-02 18:30:40,0.60,10137.58,0.323191
MAIN,243,2025-06-03 03:04:40,0.52,10138.10,0.318078
MAIN,244,2025-06-12 07:04:40,0.72,10138.82,0.310999
MAIN,245,2025-06-12 09:10:40,0.74,10139.56,0.303723
MAIN,246,2025-06-12 10:02:40,0.58,10140.14,0.298020
MAIN,247,2025-06-12 14:35:40,0.72,10140.86,0.290941
MAIN,248,2025-06-12 16:13:40,0.80,10141.66,0.283075
MAIN,249,2025-06-13 04:55:40,0.68,10142.34,0.276389
MAIN,250,2025-06-25 12:04:20,0.60,10142.94,0.270490
MAIN,251,2025-06-26 14:38:40,0.69,10143.63,0.263705
MAIN,252,2025-07-01 04:30:40,0.53,10144.16,0.258494
MAIN,253,2025-07-01 12:08:40,0.59,10144.75,0.252693
MAIN,254,2025-07-01 15:43:40,0.82,10145.57,0.244630
MAIN,255,2025-07-10 04:02:40,0.61,10146.18,0.238633
MAIN,256,2025-07-10 05:04:40,0.47,10146.65,0.234011
MAIN,257,2025-07-16 21:42:40,0.99,10147.64,0.224277
MAIN,258,2025-07-21 16:06:40,0.64,10148.28,0.217984
MAIN,259,2025-07-22 03:04:40,0.66,10148.94,0.211495
MAIN,260,2025-07-23 02:36:40,0.66,10149.60,0.205006
MAIN,261,2025-08-22 06:57:40,1.51,10151.11,0.190159
MAIN,262,2025-08-22 22:55:40,0.76,10151.87,0.182686
MAIN,263,2025-08-25 01:32:40,0.73,10152.60,0.175508
MAIN,264,2025-09-05 16:20:40,1.06,10153.66,0.165086
MAIN,265,2025-09-05 17:07:40,0.52,10154.18,0.159973
MAIN,266,2025-09-05 20:02:40,0.75,10154.93,0.152599
MAIN,267,2025-09-09 09:04:40,0.49,10155.42,0.147781
MAIN,268,2025-09-09 13:25:40,0.71,10156.13,0.140800
MAIN,269,2025-09-16 18:17:40,0.64,10156.77,0.134507
MAIN,270,2025-09-16 22:41:40,0.62,10157.39,0.128411
MAIN,271,2025-10-06 00:03:00,3.32,10160.71,0.095768
MAIN,272,2025-10-13 00:20:40,0.97,10161.68,0.086230
MAIN,273,2025-10-15 06:56:40,0.62,10162.30,0.080134
MAIN,274,2025-10-16 05:26:40,0.79,10163.09,0.072367
MAIN,275,2025-10-17 15:31:20,0.81,10163.90,0.064402
MAIN,276,2025-10-28 08:50:40,0.48,10164.38,0.059683
MAIN,277,2025-10-28 09:30:40,0.66,10165.04,0.053193
MAIN,278,2025-11-05 12:03:40,0.64,10165.68,0.046901
MAIN,279,2025-11-06 18:01:40,0.54,10166.22,0.041591
MAIN,280,2025-11-06 20:01:40,0.61,10166.83,0.035593
MAIN,281,2025-11-25 17:58:40,0.60,10167.43,0.029694
MAIN,282,2025-12-02 03:06:40,0.53,10167.96,0.024483
