"ea","path","guess_type","symbol","m2_trades","m2_report","m1_ran","m1_report","m1_pf","m1_trades","m1_net","m1_eqdd","tier","note","ea_index"
"(OH) Recovery Hedging System with SL V05","(OH) EA\(OH) Recovery Hedging System with SL V05.ex5","grid-recovery","USDJPY","0","","False","",,,,,"","m2-no-report","21"
"(OH) Recovery Hedging System with SL V05","(OH) EA\(OH) Recovery Hedging System with SL V05.ex5","grid-recovery","AUDNZD","0","","False","",,,,,"","m2-no-report","21"
"North East Way MT5 v1.309_fix",".EA OK\North East Way EA\MQL5\Experts\North East Way MT5 v1.309_fix.ex5","unknown-ea","XAUUSD","14","MS5_0022_M2_XAUUSD.htm","True","MS5_0022_M1_XAUUSD.htm","1.35","172","494.14","38.12","Tier A","","22"
"North East Way MT5 v1.309_fix",".EA OK\North East Way EA\MQL5\Experts\North East Way MT5 v1.309_fix.ex5","unknown-ea","EURUSD","23","MS5_0022_M2_EURUSD.htm","True","MS5_0022_M1_EURUSD.htm","2.03","202","1482.66","30.22","Tier A","","22"
"North East Way MT5 v1.309_fix",".EA OK\North East Way EA\MQL5\Experts\North East Way MT5 v1.309_fix.ex5","unknown-ea","USDJPY","15","MS5_0022_M2_USDJPY.htm","True","MS5_0022_M1_USDJPY.htm","2.07","199","1505.18","30.12","Tier A","","22"
"North East Way MT5 v1.309_fix",".EA OK\North East Way EA\MQL5\Experts\North East Way MT5 v1.309_fix.ex5","unknown-ea","AUDNZD","23","MS5_0022_M2_AUDNZD.htm","True","MS5_0022_M1_AUDNZD.htm","1.98","203","1475.47","30.1","Tier A","","22"
"TradeGPT",".EA OK\TradeGPT MT5\TradeGPT MT5 @PaidCrackedEA\EA\TradeGPT.ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","m2-no-report","23"
"TradeGPT",".EA OK\TradeGPT MT5\TradeGPT MT5 @PaidCrackedEA\EA\TradeGPT.ex5","unknown-ea","EURUSD","0","","False","",,,,,"","m2-no-report","23"
"TradeGPT",".EA OK\TradeGPT MT5\TradeGPT MT5 @PaidCrackedEA\EA\TradeGPT.ex5","unknown-ea","USDJPY","0","","False","",,,,,"","m2-no-report","23"
"TradeGPT",".EA OK\TradeGPT MT5\TradeGPT MT5 @PaidCrackedEA\EA\TradeGPT.ex5","unknown-ea","AUDNZD","0","","False","",,,,,"","m2-no-report","23"
