platform,hash,path,guess_symbol,guess_type
ex4,5f990eb239ba172b591fc12f35c88642,.Forexbookthai\EA\Link DL AI GEN XII\AI_GEN_XII_EA_v2.9_Unlimit\MQL4\Experts\AI Gen XII MT4_2.6-fix.ex4,basket,unknown-ea
ex4,cb2d5de5420f142dfde04cb3b8562c05,.Forexbookthai\EA\Link DL AI GEN XII\AI_GEN_XII_EA_v2.9_Unlimit\MQL4\Experts\AI Gen XII MT4_2.71_fix.ex4,basket,unknown-ea
ex4,0ef3122614b823c01c8e4997b961de46,.Forexbookthai\EA\Link DL AI GEN XII\AI_GEN_XII_EA_v2.9_Unlimit\MQL4\Experts\AI Gen XII MT4_2.8_fix.ex4,basket,unknown-ea
ex4,cd3e529acea21a42288334ab5c076396,.Forexbookthai\EA\Link DL AI GEN XII\AI_GEN_XII_EA_v2.9_Unlimit\MQL4\Experts\AI Gen XII MT4_2.9_fix.ex4,basket,unknown-ea
ex4,60335dac02cd3d982c5e6a2be1ad7fcb,.Forexbookthai\EA\Link DL Atomic Analyst\Atomic Analyst.ex4,basket,unknown-ea
ex4,4dde8777ae22f550d4f882a48a1540b4,.Forexbookthai\EA\Link DL Aura Super Star\Aura Superstar MT4\Aura Superstar.ex4,basket,unknown-ea
ex5,bcb6add26c79b62f938b3c9d58f3b785,.Forexbookthai\EA\Link DL Aura Super Star\Aura Superstar MT5\Aura Superstar MT5.ex5,basket,unknown-ea
ex4,3d3a77a088349fa463dbf44d17afc933,.Forexbookthai\EA\Link DL Evening Scalper Pro\Experts\Evening Scalper Pro (fix no dll).ex4,basket,scalper
ex4,138d2edfc9236b00351a445e55cf803f,.Forexbookthai\EA\Link DL Evening Scalper Pro\Experts\Evening Scalper Pro 2.29.ex4,basket,scalper
ex4,810da6cf6e6aea0d7d63017859dd5c91,.Forexbookthai\EA\Link DL Evening Scalper Pro\Experts\Evening Scalper Pro 2.51.ex4,basket,scalper
ex4,239dfb8ac442fc8cfe0cfb5d2b50a073,.Forexbookthai\EA\Link DL Friday Pro\Experts\Friday Pro MT4-1.6.ex4,basket,unknown-ea
ex4,a38e20eb30b05b269f97c511f5b44fcb,.Forexbookthai\EA\Link DL Golden Garden\Experts\Gold Garden MT4_fix 1420 new.ex4,XAUUSD,unknown-ea
ex4,9a10b70c9886c4d608263d89fe88880e,.Forexbookthai\EA\Link DL Golden PickAxe\Experts\Golden Pickaxe V1.53 No DLL.ex4,XAUUSD,unknown-ea
ex4,780922619157773ec049205aa2870fe7,.Forexbookthai\EA\Link DL Golden PickAxe\Experts\Golden Pickaxe V2.19_fix.ex4,XAUUSD,unknown-ea
ex4,3feb855fd4d5c287d55e4ba5e658f9a2,.Forexbookthai\EA\Link DL Hercules\Experts\Hercules AI.ex4,basket,unknown-ea
ex4,aa9a7968f369ca266bf0e90808bc8123,.Forexbookthai\EA\Link DL Hunter Night\v6.28\Experts\Night Hunter Pro without DLL.ex4,basket,unknown-ea
ex4,8db8e1ba0851f835a6f86f670e693d86,.Forexbookthai\EA\Link DL Hunter Night\v6.56\Night Hunter Pro 6.56.ex4,basket,unknown-ea
ex4,bc5286bc3e9594dcfff4c695ee48e908,.Forexbookthai\EA\Link DL Yetti\Experts\Yetti 3.03.ex4,basket,unknown-ea
ex4,524261604c32105ec8470678f11affd0,.Forexbookthai\EA\Link download The power of Gold\The Power of Gold MT4_fix.ex4,XAUUSD,unknown-ea
