"token","name","realm","price","sym","tf","days","trades","pf","dd","ai"
"DLV7165","4.4.7-ICHIMOKU+ADX FIX MACD Master.mq5","Others","19599","XAUUSD","15","24","136","1.62","0.10664","48.40662251394"
"XYQ5774","4.2.7-ICHIMOKU+ADX Plus ATR MACD Master","Others","19599","XAUUSD","15","24","158","1.35","0.27846","48.1199095937476"
"XNV5960","1-21-34 BB RSI Log Pyramid Trail Harmony mq4","Others","19599","XAUUSD","15","11","233","1.96","0.06852","47.2370823169986"
"CMO8617","4.3.34-ICHIMOKU+ADX Log ATR Trail Harmony","Others","19599","XAUUSD","15","24","199","1.31","0.24983","44.5645466372515"
"EPN2116","1-16-24 BB RSI Fractional MoneyTracker mq4","Others","19599","XAUUSD","15","11","148","1.89","0.07569","44.3838826842727"
"WUZ6920","1-18-18 BB RSI Multi Lot Indy LossControl mq4","Others","19599","XAUUSD","15","11","166","2.01","0.17195","42.8183778736121"
"HNB9701","1-16-17 BB RSI Fractional All Perfect mq4","Others","19599","XAUUSD","15","11","184","1.36","0.15875","42.4254445004407"
"UKV0875","1-16-29 BB RSI Fractional ATR Range Guard mq4","Others","19599","XAUUSD","15","11","262","1.38","0.17894","41.9316374674933"
"YCM8467","1-21-26 BB RSI Log Pyramid MoneyWise Trail mq4","Others","19599","XAUUSD","15","11","435","2.18","0.32399","41.8444404381349"
"NVM7355","4.4.20-ICHIMOKU+ADX FIX DynamicClose.mq5","Others","19599","XAUUSD","15","24","123","1.66","0.11275","41.781883314428"
"GPJ5419","1-22-19 BB RSI Plus Pyramid DualGuard mq4","Others","19599","XAUUSD","15","11","216","1.62","0.20923","41.6320885101743"
"DBM2865","4.3.34-ICHIMOKU+ADX Log ATR Trail Harmony.mq4","Others","19599","XAUUSD","15","23","203","1.46","0.31501","41.0428408524324"
"STS9978","1-16-31 BB RSI Fractional Money Keeper mq4","Others","19599","XAUUSD","15","11","128","1.62","0.0462","40.9002411602268"
"JMU1881","1-18-34 BB RSI Multi Lot Indy Trail Harmony mq4","Others","19599","XAUUSD","15","11","156","1.7","0.15117","40.7902555472253"
"BZG1282","1-13-34 BB RSI X Pyramid Trail Harmony mq4","Others","19599","XAUUSD","15","11","156","1.26","0.1244","40.7804557579277"
"YRZ6579","1-18-19 BB RSI Multi Lot Indy DualGuard mq4","Others","19599","XAUUSD","15","11","172","1.82","0.22461","40.6393159074801"
"YLY1038","1-16-13 BB RSI Fractional Time Master mq4","Others","19599","XAUUSD","15","11","295","1.22","0.19488","40.6351544112053"
"TPZ3810","4.4.9-ICHIMOKU+ADX FIX BE Combine.mq5","Others","19599","XAUUSD","15","24","462","1.5","0.11376","40.4043024926389"
"GUM0827","1-16-34 BB RSI Fractional Trail Harmony mq4","Others","19599","XAUUSD","15","11","371","1.2","0.07636","39.9817200821007"
"DWL2575","4.2.6-ICHIMOKU+ADX Plus ATR Inverse Trigger.mq4","Others","19599","XAUUSD","15","11","102","2.16","0.25132","39.9657844613003"
"JAG8404","3-22-7 STO+SAR Plus Pyramid MACD Master mq5","Others","19599","EURUSD","60","210","172","2.92","0.15375","39.5417264832721"
"YPB1154","1-22-31 BB RSI Plus Pyramid Money Keeper mq4","Others","19599","XAUUSD","15","11","193","1.28","0.15561","38.6541192642381"
"GPN3487","1-16-19 BB RSI Fractional DualGuard mq4","Others","19599","XAUUSD","15","11","303","1.35","0.2085","38.3080767910664"
"OLZ7569","4.3.2-ICHIMOKU+ADX Log ATR DualStar.mq4","Others","19599","XAUUSD","15","11","102","1.4","0.30113","35.1032919792185"
"YFG3479","9-3-20 WPR+Force Log ATR DynamicClose mq5","Others","19599","EURUSD","60","210","146","2.99","0.12683","35.0622757977541"
"VXS4357","9-13-20 WPR+Force X Pyramid DynamicClose mq5","Others","19599","EURUSD","60","212","108","1.93","0.0607","34.6043107786829"
"CCT5494","9-22-20 WPR+Force Plus Pyramid DynamicClose mq5","Others","19599","EURUSD","60","210","125","2.27","0.28355","32.2400848997911"
