variant,context,window,year,full_window_eligible,cycles,trades,pf,net,active_share,realized_balance_dd
SINGLETP_OFF,EUR_H4,MAIN,2023,True,3,9,1.7401,54.79,0.177895,13.68
SINGLETP_OFF,EUR_H4,MAIN,2024,True,1,2,,32.13,0.231658,0.0
SINGLETP_OFF,EUR_H4,MAIN,2025,True,2,7,0.6047,-61.04,0.382362,105.36
SINGLETP_OFF,GBP_H4,BWD,2020,True,5,18,1.3627,83.6,0.150261,69.16
SINGLETP_OFF,GBP_H4,BWD,2021,True,0,0,,0,0.0,0.0
SINGLETP_OFF,GBP_H4,BWD,2022,True,2,22,0.2129,-886.43,0.640196,968.78
SINGLETP_OFF,GBP_H4,MAIN,2023,True,1,2,,32.64,0.009956,0.0
SINGLETP_OFF,GBP_H4,MAIN,2024,True,0,0,,0,0.0,0.0
SINGLETP_OFF,GBP_H4,MAIN,2025,True,1,1,,142.56,0.939021,0.0
SINGLETP_OFF,USDJPY_H1,BWD,2020,True,4,13,0.8657,-17.45,0.215492,45.73
SINGLETP_OFF,USDJPY_H1,BWD,2021,True,0,0,,0,0.0,0.0
SINGLETP_OFF,USDJPY_H1,BWD,2022,True,1,2,18.707,247.19,0.762238,0.0
SINGLETP_OFF,USDJPY_H1,MAIN,2023,True,1,3,,49.68,0.013878,0.0
SINGLETP_OFF,USDJPY_H1,MAIN,2024,True,0,0,,0,0.0,0.0
SINGLETP_OFF,USDJPY_H1,MAIN,2025,True,1,1,,227.06,0.970195,0.0
SINGLETP_OFF,XAU_H4,BWD,2020,True,1,3,3.6443,58.44,0.036691,0.0
SINGLETP_OFF,XAU_H4,BWD,2021,True,0,0,,0,0.0,0.0
SINGLETP_OFF,XAU_H4,BWD,2022,True,1,1,0.0,-457.68,0.930048,457.68
SINGLETP_OFF,XAU_H4,MAIN,2023,True,7,42,1.5039,197.59,0.088402,124.77
SINGLETP_OFF,XAU_H4,MAIN,2024,True,0,0,,0,0.0,0.0
SINGLETP_OFF,XAU_H4,MAIN,2025,True,1,1,,1754.74,0.684459,0.0
SINGLETP_OFF,XAU_M15,BWD,2020,True,50,378,1.2706,780.84,0.193166,661.73
SINGLETP_OFF,XAU_M15,BWD,2021,True,29,311,0.8249,-515.62,0.14724,955.48
SINGLETP_OFF,XAU_M15,BWD,2022,True,15,158,0.8623,-249.01,0.440428,696.7
SINGLETP_OFF,XAU_M15,MAIN,2023,True,29,325,1.0173,44.52,0.203329,772.86
SINGLETP_OFF,XAU_M15,MAIN,2024,True,0,0,,0,0.0,0.0
SINGLETP_OFF,XAU_M15,MAIN,2025,True,1,1,,1815.9,0.739194,0.0
